variavel,coeficiente,erro_padrao,estatistica_wald_z,p_valor,ic_95_coef_inferior,ic_95_coef_superior,odds_ratio,ic_95_or_inferior,ic_95_or_superior,interpretacao_or,significancia
"C(diagnostico, Treatment(reference='DGN3'))[T.DGN5]",2.0577857246856124,0.5729203897688554,3.591748105728661,0.00032846725975454506,0.9348823947300058,3.1806890546412188,7.828615893315586,2.5469139096271407,24.063328789171997,Aumento da chance de óbito,Estatisticamente significativa ao nível de 5%
"C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC14]",1.759053233680823,0.5888893443114449,2.987069218814928,0.0028166594092137154,0.6048513279509835,2.913255139410662,5.806936978660292,1.8309799731050393,18.416649864797748,Aumento da chance de óbito,Estatisticamente significativa ao nível de 5%
dispneia_antes_cirurgia,1.1422430484073292,0.4542204965928363,2.5147325076156504,0.011912272635481013,0.25198723404547163,2.0324988627691867,3.133789729674127,1.28657961276317,7.633136707894342,Aumento da chance de óbito,Estatisticamente significativa ao nível de 5%
tabagismo,1.2101571734408618,0.48859143032467256,2.4768284876316877,0.0132555583669936,0.25253556684959244,2.167778780032131,3.3540117726943004,1.2872852800225334,8.73885155524737,Aumento da chance de óbito,Estatisticamente significativa ao nível de 5%
diabetes_mellitus_tipo_2,1.0286605542221352,0.42902389218521464,2.39767661652291,0.01649942459010034,0.18778917703191933,1.869531931412351,2.7973164704888664,1.206579113943692,6.485260142198567,Aumento da chance de óbito,Estatisticamente significativa ao nível de 5%
"C(diagnostico, Treatment(reference='DGN3'))[T.DGN8]",3.399589574044188,1.5079277146962822,2.2544778114439743,0.024166125015459367,0.444105561949685,6.3550735861386904,29.951804526368097,1.5590950580495413,575.4046809102628,Aumento da chance de óbito,Estatisticamente significativa ao nível de 5%
"C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC13]",1.2049086201104164,0.6030638167361019,1.9979786328943014,0.04571897667593457,0.022925258928393255,2.3868919812924396,3.3364541793223133,1.0231900623675412,10.879627256112482,Aumento da chance de óbito,Estatisticamente significativa ao nível de 5%
"C(diagnostico, Treatment(reference='DGN3'))[T.DGN2]",0.4831855937983918,0.4020675325405706,1.2017523293792343,0.22945949996632797,-0.3048522893340127,1.2712234769307964,1.6212307674683117,0.7372322634180113,3.5652118495193865,Aumento da chance de óbito,Não significativa ao nível de 5%
"C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC12]",0.3814866590822456,0.3177765139270221,1.2004872681366712,0.22995015441253053,-0.2413438633474086,1.0043171815118999,1.4644601248389797,0.7855714507105812,2.730042512751046,Aumento da chance de óbito,Não significativa ao nível de 5%
"C(diagnostico, Treatment(reference='DGN3'))[T.DGN4]",0.32390375442214303,0.456098133477147,0.7101624204265076,0.47760342174023573,-0.5700321606090074,1.2178396694532934,1.382514239834105,0.565507251349479,3.3798781868543655,Aumento da chance de óbito,Não significativa ao nível de 5%
"C(diagnostico, Treatment(reference='DGN3'))[T.DGN6]",-19.13384705375266,14420.173661635123,-0.0013268804872064938,0.9989413028558864,-28282.15487467167,28243.887180564165,4.900899615150416e-09,0.0,inf,Redução da chance de óbito,Não significativa ao nível de 5%
"C(diagnostico, Treatment(reference='DGN3'))[T.DGN1]",-19.567379451544372,29232.437996282508,-0.0006693721356403034,0.9994659183474243,-57314.093032465484,57274.95827356239,3.176838072801014e-09,0.0,inf,Redução da chance de óbito,Não significativa ao nível de 5%
