grupo,n,obitos_observados,obitos_esperados,probabilidade_media,nao_obitos_observados,nao_obitos_esperados,componente_obito,componente_nao_obito
"(-0.000999999802, 0.0388]",54,1.0,1.6547867923807345,0.03064419985890249,53.0,52.34521320761927,0.259094250359236,0.00819073449516186
"(0.0388, 0.0847]",123,8.0,10.018357815277048,0.08145006353883778,115.0,112.98164218472296,0.40663034257748565,0.0360569043936304
"(0.0847, 0.113]",14,1.0,1.5554085315613597,0.11110060939723998,13.0,12.44459146843864,0.19832644007776337,0.02478816903821188
"(0.113, 0.119]",133,16.0,15.872303773409348,0.11934062987525826,117.0,117.12769622659066,0.001027344645004147,0.00013921836432219232
"(0.119, 0.13]",8,2.0,1.0435960875049315,0.13044951093811644,6.0,6.956403912495069,0.8764966204720006,0.1314915659501713
"(0.13, 0.18]",46,10.0,7.752479535070278,0.1685321638058756,36.0,38.24752046492972,0.6515784037128868,0.13206995326428125
"(0.18, 0.298]",49,15.0,12.800070754028077,0.26122593375567504,34.0,36.19992924597192,0.3780985886940963,0.13369331896749825
"(0.298, 0.748]",43,17.0,19.30299671296774,0.4489069003015754,26.0,23.69700328703226,0.27476530918005754,0.22381707069444587
