indice,dfbeta_constante,"dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN1]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN2]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN4]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN5]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN6]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN8]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC12]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC13]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC14]",dfbeta_dispneia_antes_cirurgia,dfbeta_diabetes_mellitus_tipo_2,dfbeta_tabagismo,max_abs_dfbeta,dfbeta_maior_2_raiz_n
0,0.025012515346782997,-1.6320951278684175e-07,-0.11209376613925283,-0.01754697003898636,-0.015590880371753737,-3.4770931193582346e-07,-0.009627129337072566,0.0058415605192645,0.01913627263752606,-0.19535879611076068,-0.0005516962853613478,0.03234401635323331,-0.02184679853911233,0.19535879611076068,True
1,-0.000659834446182204,2.0579578114442825e-07,0.007967524000207516,0.008159252054853865,0.005484591779167241,2.532787722156319e-07,0.0016694375611358144,-0.013587629164497498,-0.0012319157970348026,-0.0006304069276494172,0.007851558520141974,0.00669093105363122,-0.0027417724664502334,0.013587629164497498,False
2,-0.010633603513354808,4.1262102632594766e-08,0.004073836123725345,0.005285916815020056,0.004978989736403625,2.7304733569857967e-07,0.001994626133740637,0.017429216195524705,0.009153257989897029,0.009507729066783115,0.0026907651400369203,0.004200508968125712,-0.0019806684093276565,0.017429216195524705,False
3,-0.014699633453170512,2.765625174860702e-09,0.0016958553651570645,0.0018622888219359205,0.0035056495930189113,1.1569182388287006e-07,0.004714666358724045,0.005517565160473422,0.002761767968021053,0.0031939366475212732,0.0030593619340703133,0.002783931714133889,0.01259099813949778,0.014699633453170512,False
4,0.11491524535377098,-4.459113640904528e-07,-0.04402513946481118,-0.05712385523447173,-0.053806955135588905,-2.950768432883756e-06,-0.02155552924838443,-0.18835408456947006,-0.09891744471893857,-0.10274814338285107,-0.029078565499303793,-0.04539406778489037,0.021404690887383268,0.18835408456947006,True
5,-0.014699633453170538,2.765625174860596e-09,0.0016958553651570615,0.001862288821935895,0.003505649593018902,1.1569182389720895e-07,0.004714666358724045,0.005517565160473439,0.0027617679680210588,0.0031939366475212754,0.003059361934070302,0.0027839317141339325,0.012590998139497805,0.014699633453170538,False
6,-0.0570486952474619,-6.75415826115348e-07,-0.03559567348422027,-0.06830972510357984,-0.03123794623608477,-2.8032248181789974e-07,0.012260792484854736,0.0787041436474883,0.028439510207328968,-0.014005649405399976,-0.018382557157195386,0.2810964111368128,0.05265601124524687,0.2810964111368128,True
7,0.06976828076026059,3.820178964159793e-07,0.3152874372064803,-0.0074008978441146385,-0.011945333443663067,-1.3989688350600788e-06,-0.0037495432852478047,-0.2029718276279043,-0.1472221671464514,-0.17959599879613553,-0.026304486501276356,-0.027898953452314763,0.031577478120180004,0.3152874372064803,True
8,-0.010633603513354755,4.1262102632594263e-08,0.004073836123725318,0.005285916815020013,0.004978989736403539,2.730473356988937e-07,0.0019946261337405913,0.01742921619552474,0.009153257989897032,0.00950772906678322,0.0026907651400367672,0.004200508968125686,-0.001980668409327708,0.01742921619552474,False
9,-0.010633603513354774,4.1262102632594396e-08,0.004073836123725326,0.005285916815020017,0.00497898973640354,2.7304733569889376e-07,0.0019946261337405987,0.017429216195524722,0.009153257989897039,0.009507729066783167,0.002690765140036845,0.004200508968125675,-0.001980668409327686,0.017429216195524722,False
10,-0.016631295781393975,5.2301136833117364e-08,0.003188322267415278,0.0029343953534759714,0.004583567592525821,1.24848986778763e-07,0.006462550074858709,-0.0044658291512597245,-0.0006120565651607579,4.796070009234878e-05,0.005763662288974706,0.004290018655115744,0.0182683032930204,0.0182683032930204,False
11,-0.0006598344461820816,2.0579578113207128e-07,0.007967524000207537,0.008159252054853855,0.005484591779167217,2.532787722156316e-07,0.0016694375611357752,-0.013587629164497553,-0.0012319157970348343,-0.0006304069276494483,0.007851558520142004,0.006690931053631279,-0.0027417724664503653,0.013587629164497553,False
12,-0.010633603513354803,4.126210263259451e-08,0.004073836123725324,0.005285916815020021,0.004978989736403547,2.7304733569889413e-07,0.00199462613374061,0.017429216195524722,0.009153257989897037,0.00950772906678319,0.002690765140036893,0.004200508968125694,-0.0019806684093276595,0.017429216195524722,False
13,-0.02871194436464971,1.873487086726915e-07,0.12867278370015858,0.02014222162555267,0.017896820196742165,3.9913660345261684e-07,0.011051011786899623,-0.006705545536161093,-0.02196658703443564,0.2242529712549349,0.0006332938863563904,-0.037127797232217895,0.025078008169274732,0.2242529712549349,True
14,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
15,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
16,0.007540890199362081,1.479062110374935e-07,-0.06190816957199398,0.002637126020134973,0.0001313268847595438,8.834795363990924e-08,-0.0009733716769760736,-0.01654659047327156,0.00880623796106428,0.01567293038793303,0.011698289751028358,0.006976948448699862,-0.006472431067009037,0.06190816957199398,False
17,0.007540890199362081,1.479062110374935e-07,-0.06190816957199398,0.002637126020134973,0.0001313268847595438,8.834795363990924e-08,-0.0009733716769760736,-0.01654659047327156,0.00880623796106428,0.01567293038793303,0.011698289751028358,0.006976948448699862,-0.006472431067009037,0.06190816957199398,False
18,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
19,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
20,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
